task,method,seed,regret_auc,final_best,final_top50,final_top10pct
gap_max,dkl_frozen,6,0.3451472980821578,8.572742466226543,34,46
gap_max,dkl_frozen,7,1.2778460427760319,8.572742466226543,30,41
gap_max,dkl_frozen,8,0.11209874818904968,8.68143673805662,32,40
gap_max,dkl_frozen,9,0.9237752148740603,8.572742466226543,35,43
gap_max,dkl_frozen,10,1.415931440448231,7.586685082888464,31,44
gap_max,dkl_frozen,11,1.5769979064226538,8.572742466226543,33,47
gap_max,dkl_frozen,12,0.06516865975464453,8.68143673805662,26,33
gap_max,dkl_frozen,13,1.3651532529847166,8.68143673805662,28,40
gap_max,dkl_frozen,14,0.36826292400725863,8.68143673805662,34,48
gap_max,dkl_frozen,15,1.4537321850347826,8.68143673805662,28,38
gap_max,dkl_frozen,16,0.7026380853051469,8.572742466226543,27,38
gap_max,dkl_frozen,17,0.4553363418706614,8.572742466226543,31,42
gap_max,dkl_frozen,18,1.516628970808314,8.68143673805662,40,53
gap_max,dkl_frozen,19,0.10843040883403399,8.68143673805662,32,40
gap_max,dkl_frozen,20,1.661265599539279,8.572742466226543,27,41
gap_max,dkl_frozen,21,1.0430880867056642,8.68143673805662,34,48
gap_max,dkl_frozen,22,0.44487263788892906,8.68143673805662,37,45
gap_max,dkl_frozen,23,0.5581514041905775,8.68143673805662,32,43
gap_max,dkl_frozen,24,1.2629905531302859,8.572742466226543,29,39
gap_max,dkl_frozen,25,1.3810832063502785,8.572742466226543,32,45
gap_max,dkl_frozen,26,1.149531507437453,8.572742466226543,27,40
